userID,cond,timeConsentPage,totalTime,timeInstruct1,timeInstruct2,timeAttentionCheck,timeInstruct1-pass2,timeInstruct2-pass2,timeAttentionCheck-pass2,responseAttentionCheck-pass2
21561623,o-cfe,36197,499344,67465,34257,12406,,,,
84723346,s-cfe,57036,521238,39628,31703,18932,,,,
21131778,o-con,7605,763467,4793,203226,50273,61462.0,47852.0,21684.0,0.0
90644536,s-con,5555,496101,64900,16473,14577,3051.0,2686.0,7343.0,1.0
48472756,s-con,6075,480863,80351,76054,19518,,,,
51891032,o-con,8137,439888,31348,30683,11406,,,,
28168449,s-con,18820,607746,3698,67900,22600,,,,
47666493,o-con,6537,622412,63047,66279,28373,,,,
10106853,s-cfe,35222,394947,31423,27247,24001,,,,
63206362,o-con,29259,502993,72890,25560,11775,,,,
31151322,s-cfe,32776,451828,80852,43669,16748,,,,
25574123,o-con,20227,419078,57540,19550,17328,18053.0,4059.0,6874.0,1.0
42524045,s-con,12112,539149,32628,42812,18674,,,,
83632648,s-cfe,40002,731938,53793,29482,17072,36101.0,1030.0,4007.0,1.0
69651024,o-con,27174,515744,9855,32050,18482,27626.0,17958.0,17755.0,1.0
75362304,s-con,26621,450020,74933,28464,16554,,,,
92109705,s-cfe,7661,396696,8599,27687,13993,,,,
01390244,o-con,64756,526538,42025,29390,63065,,,,
79048407,o-cfe,63481,525253,37973,41472,18556,,,,
26093094,s-con,1933,296153,18960,23572,8313,,,,
66148942,s-cfe,84275,451914,26730,27964,14918,,,,
53382089,o-con,43542,442544,32893,52225,14072,,,,
64651637,o-cfe,87129,456941,8088,23229,17901,17017.0,7932.0,5217.0,1.0
74433126,s-con,68382,427756,17475,37995,19021,,,,
08038625,s-cfe,103126,500785,40055,40786,10671,,,,
21410794,o-con,7428,352819,11387,2035,4216,,,,
91405133,o-cfe,2911,367423,10518,18917,4072,,,,
84293563,s-con,133094,434126,37262,29687,24535,,,,
64256252,s-cfe,3464,356076,27397,11726,5300,,,,
29103727,o-cfe,88809,526736,36090,17252,17272,,,,
38687174,s-con,9512,458911,13395,33578,15766,,,,
28973492,o-con,1466,302741,1239,3914,14639,,,,
94701268,o-cfe,73413,560107,58250,34932,18989,,,,
84911820,s-cfe,100949,319811,18700,3010,5263,,,,
50490732,o-cfe,1245,368786,4067,26191,12818,,,,
88320661,o-con,105962,500808,39032,51044,20163,,,,
57053287,o-cfe,20061,305689,16949,29437,9047,4723.0,1982.0,3600.0,1.0
45293534,s-con,15463,488631,3384,2938,16772,,,,
13584836,o-con,70369,376613,26213,24755,17829,,,,
40129706,o-cfe,4852,402858,7368,22972,7359,,,,
